number of users,M value being tested,time to completion,average time per user,percentage of users with at least one match,average number of matches,maximum number of matches
30,2,7.011530160903931,0.23371767203013102,0.7333333333333333,1.3636363636363635,2
30,5,7.081989765167236,0.23606632550557455,0.9666666666666667,3.2413793103448274,5
30,10,6.85014796257019,0.22833826541900634,1.0,7.6,10
30,15,6.722760915756226,0.22409203052520751,1.0,13.0,15
30,20,6.759757041931152,0.2253252347310384,1.0,17.466666666666665,20
30,50,6.751265048980713,0.2250421682993571,1.0,29.0,29
