number of users,M value being tested,time to completion,average time per user,percentage of users with at least one match,average number of matches,maximum number of matches
100,2,94.7948842048645,0.947948842048645,0.74,1.2702702702702702,2
100,5,84.08719205856323,0.8408719205856323,0.99,2.888888888888889,5
100,10,97.95704221725464,0.9795704221725464,1.0,6.92,10
100,15,87.17854809761047,0.8717854809761048,1.0,9.86,15
100,20,94.1333429813385,0.941333429813385,1.0,12.58,19
100,50,89.98862481117249,0.8998862481117249,1.0,44.72,50
