number of users,M value being tested,time to completion,average time per user,percentage of users with at least one match,average number of matches,maximum number of matches
200,2,382.28592109680176,1.9114296054840088,0.63,1.380952380952381,2
200,5,413.8923749923706,2.069461874961853,0.92,2.369565217391304,5
200,10,379.0972030162811,1.8954860150814057,0.99,5.626262626262626,10
200,15,359.23087882995605,1.7961543941497802,1.0,9.7,15
200,20,379.15742015838623,1.8957871007919311,1.0,13.54,20
200,50,347.7857310771942,1.738928655385971,1.0,32.49,48
